,bigbag_filling_time_end,time_start
0,2018-06-04 19:00:00.000,2018-06-04 17:20:00.000
1,2018-06-04 20:35:00.000,2018-06-04 18:40:00.000
2,2018-06-04 22:15:00.000,2018-06-04 20:55:00.000
3,2018-06-04 23:35:00.000,2018-06-04 22:15:00.000
4,2018-06-05 01:05:00.000,2018-06-04 23:35:00.000
5,2018-06-05 02:35:00.000,2018-06-05 01:05:00.000
6,2018-06-05 04:05:00.000,2018-06-05 02:35:00.000
7,2018-06-05 05:25:00.000,2018-06-05 04:05:00.000
8,2018-06-05 06:50:00.000,2018-06-05 05:25:00.000
9,2018-06-05 10:40:00.000,2018-06-05 08:55:00.000
10,2018-06-05 12:10:00.000,2018-06-05 10:40:00.000
11,2018-06-05 13:30:00.000,2018-06-05 12:10:00.000
12,2018-06-06 15:00:00.000,2018-06-06 13:20:00.000
13,2018-06-06 16:40:00.000,2018-06-06 15:00:00.000
14,2018-06-06 18:20:00.000,2018-06-06 16:40:00.000
15,2018-06-06 20:00:00.000,2018-06-06 18:20:00.000
16,2018-06-06 21:20:00.000,2018-06-06 20:00:00.000
17,2018-06-06 22:50:00.000,2018-06-06 21:20:00.000
18,2018-06-07 00:25:00.000,2018-06-06 22:50:00.000
19,2018-06-07 02:00:00.000,2018-06-07 00:25:00.000
20,2018-06-07 03:45:00.000,2018-06-07 02:00:00.000
21,2018-06-07 05:00:00.000,2018-06-07 03:45:00.000
22,2018-06-07 06:25:00.000,2018-06-07 05:05:00.000
23,2018-06-25 17:25:00.000,2018-06-25 16:26:00.000
24,2018-06-25 18:40:00.000,2018-06-25 17:25:00.000
25,2018-06-25 20:00:00.000,2018-06-25 18:40:00.000
26,2018-06-25 21:15:00.000,2018-06-25 20:00:00.000
27,2018-06-25 22:30:00.000,2018-06-25 21:15:00.000
28,2018-06-25 23:50:00.000,2018-06-25 22:30:00.000
29,2018-06-26 01:10:00.000,2018-06-25 23:50:00.000
30,2018-06-26 02:30:00.000,2018-06-26 01:10:00.000
31,2018-06-26 03:45:00.000,2018-06-26 02:30:00.000
32,2018-06-26 05:10:00.000,2018-06-26 03:45:00.000
33,2018-06-26 06:15:00.000,2018-06-26 05:10:00.000
34,2018-06-26 07:25:00.000,2018-06-26 06:15:00.000
35,2018-06-26 08:35:00.000,2018-06-26 07:25:00.000
36,2018-06-26 09:45:00.000,2018-06-26 08:35:00.000
37,2018-06-26 11:00:00.000,2018-06-26 09:45:00.000
38,2018-06-26 12:10:00.000,2018-06-26 11:00:00.000
39,2018-06-26 13:15:00.000,2018-06-26 12:10:00.000
40,2018-06-26 14:40:00.000,2018-06-26 13:15:00.000
41,2018-06-26 16:00:00.000,2018-06-26 14:40:00.000
42,2018-06-26 17:40:00.000,2018-06-26 16:10:00.000
43,2018-06-26 19:25:00.000,2018-06-26 17:45:00.000
44,2018-06-26 21:00:00.000,2018-06-26 19:10:00.000
45,2018-06-26 22:20:00.000,2018-06-26 21:00:00.000
46,2018-06-26 23:35:00.000,2018-06-26 22:20:00.000
47,2018-06-27 00:50:00.000,2018-06-26 23:35:00.000
48,2018-06-27 02:00:00.000,2018-06-27 00:50:00.000
49,2018-06-27 03:20:00.000,2018-06-27 02:00:00.000
50,2018-06-27 04:40:00.000,2018-06-27 03:20:00.000
51,2018-06-27 05:55:00.000,2018-06-27 04:35:00.000
52,2018-06-27 07:10:00.000,2018-06-27 06:00:00.000
53,2018-06-27 08:25:00.000,2018-06-27 07:10:00.000
54,2018-06-27 09:45:00.000,2018-06-27 08:25:00.000
55,2018-06-27 10:55:00.000,2018-06-27 09:40:00.000
56,2018-06-27 12:10:00.000,2018-06-27 11:00:00.000
57,2018-06-27 13:10:00.000,2018-06-27 12:10:00.000
58,2018-06-27 14:45:00.000,2018-06-27 13:10:00.000
59,2018-06-27 15:50:00.000,2018-06-27 14:35:00.000
60,2018-06-27 17:10:00.000,2018-06-27 15:50:00.000
61,2018-06-27 18:30:00.000,2018-06-27 17:10:00.000
62,2018-06-27 19:40:00.000,2018-06-27 18:30:00.000
63,2018-06-27 21:00:00.000,2018-06-27 19:40:00.000
64,2018-06-28 00:35:00.000,2018-06-27 23:10:00.000
65,2018-06-28 01:50:00.000,2018-06-28 00:35:00.000
66,2018-06-28 03:10:00.000,2018-06-28 01:50:00.000
67,2018-06-28 04:10:00.000,2018-06-28 03:10:00.000
68,2018-06-28 05:20:00.000,2018-06-28 04:10:00.000
69,2018-06-28 06:29:59.000,2018-06-28 05:19:59.000
70,2018-06-28 07:39:59.000,2018-06-28 06:29:59.000
71,2018-06-28 08:49:59.000,2018-06-28 07:39:59.000
72,2018-06-28 09:59:59.000,2018-06-28 08:49:59.000
73,2018-06-28 11:20:00.000,2018-06-28 10:00:00.000
74,2018-06-28 12:40:00.000,2018-06-28 11:20:00.000
75,2018-06-28 14:25:00.000,2018-06-28 12:50:00.000
76,2018-06-28 15:10:00.000,2018-06-28 13:55:00.000
77,2018-06-28 16:35:00.000,2018-06-28 15:10:00.000
78,2018-06-28 18:00:00.000,2018-06-28 16:35:00.000
79,2018-07-17 03:25:00.000,2018-07-17 02:25:00.000
80,2018-07-17 04:50:00.000,2018-07-17 03:25:00.000
81,2018-07-17 06:00:00.000,2018-07-17 04:50:00.000
82,2018-07-17 07:10:00.000,2018-07-17 06:00:00.000
83,2018-07-17 08:25:00.000,2018-07-17 07:10:00.000
84,2018-07-17 10:15:00.000,2018-07-17 08:25:00.000
85,2018-07-17 11:00:00.000,2018-07-17 10:15:00.000
86,2018-07-17 12:10:00.000,2018-07-17 11:00:00.000
87,2018-07-17 13:30:00.000,2018-07-17 12:10:00.000
88,2018-07-17 14:40:00.000,2018-07-17 13:30:00.000
89,2018-07-17 16:00:00.000,2018-07-17 14:40:00.000
90,2018-07-17 17:15:00.000,2018-07-17 16:00:00.000
91,2018-07-17 18:35:00.000,2018-07-17 17:15:00.000
92,2018-07-17 19:55:00.000,2018-07-17 18:35:00.000
93,2018-07-17 21:15:00.000,2018-07-17 19:55:00.000
94,2018-07-17 22:45:00.000,2018-07-17 21:15:00.000
95,2018-07-18 00:05:00.000,2018-07-17 22:45:00.000
96,2018-07-18 01:10:00.000,2018-07-18 00:05:00.000
97,2018-07-18 02:20:00.000,2018-07-18 01:10:00.000
98,2018-07-18 03:35:00.000,2018-07-18 02:30:00.000
99,2018-07-18 04:35:00.000,2018-07-18 03:35:00.000
100,2018-07-18 05:30:00.000,2018-07-18 04:35:00.000
101,2018-07-18 06:40:00.000,2018-07-18 05:30:00.000
102,2018-07-18 07:55:00.000,2018-07-18 06:40:00.000
103,2018-07-18 09:05:00.000,2018-07-18 07:55:00.000
104,2018-07-18 10:20:00.000,2018-07-18 09:05:00.000
105,2018-07-18 11:45:00.000,2018-07-18 10:20:00.000
106,2018-07-18 13:05:00.000,2018-07-18 11:45:00.000
107,2018-07-18 14:30:00.000,2018-07-18 13:05:00.000
108,2018-07-18 15:55:00.000,2018-07-18 14:30:00.000
109,2018-07-18 16:55:00.000,2018-07-18 15:55:00.000
110,2018-07-18 17:55:00.000,2018-07-18 16:55:00.000
111,2018-08-17 17:10:00.000,2018-08-17 16:00:00.000
112,2018-08-17 18:55:00.000,2018-08-17 17:30:00.000
113,2018-08-17 20:25:00.000,2018-08-17 18:35:00.000
114,2018-08-17 21:35:00.000,2018-08-17 20:25:00.000
115,2018-08-17 22:50:00.000,2018-08-17 21:35:00.000
116,2018-08-18 00:10:00.000,2018-08-17 22:50:00.000
117,2018-08-18 01:20:00.000,2018-08-18 00:10:00.000
118,2018-08-18 02:30:00.000,2018-08-18 01:20:00.000
119,2018-08-18 03:35:00.000,2018-08-18 02:30:00.000
120,2018-08-18 04:50:00.000,2018-08-18 03:35:00.000
121,2018-08-17 14:10:00.000,2018-08-17 13:10:00.000
122,2018-08-17 15:25:00.000,2018-08-17 14:10:00.000
123,2018-08-17 16:20:00.000,2018-08-17 15:25:00.000
124,2018-08-17 17:35:00.000,2018-08-17 16:20:00.000
125,2018-08-17 18:55:00.000,2018-08-17 17:35:00.000
126,2018-08-17 20:00:00.000,2018-08-17 18:55:00.000
127,2018-08-17 21:15:00.000,2018-08-17 20:00:00.000
128,2018-08-17 22:25:00.000,2018-08-17 21:15:00.000
129,2018-08-18 00:00:00.000,2018-08-17 22:25:00.000
130,2018-08-18 01:10:00.000,2018-08-18 00:00:00.000
131,2018-08-18 02:10:00.000,2018-08-18 01:10:00.000
132,2018-08-18 03:25:00.000,2018-08-18 02:10:00.000
133,2018-08-18 04:25:00.000,2018-08-18 03:25:00.000
134,2018-08-18 06:45:00.000,2018-08-18 05:30:00.000
135,2018-08-18 08:00:00.000,2018-08-18 06:45:00.000
136,2018-08-18 09:00:00.000,2018-08-18 08:00:00.000
137,2018-08-18 10:45:00.000,2018-08-18 09:05:00.000
138,2018-08-18 12:05:00.000,2018-08-18 10:45:00.000
139,2018-08-18 12:55:00.000,2018-08-18 12:05:00.000
140,2018-08-29 15:20:00.000,2018-08-29 13:25:00.000
141,2018-08-29 16:50:00.000,2018-08-29 15:30:00.000
142,2018-08-29 18:00:00.000,2018-08-29 16:50:00.000
143,2018-08-29 19:20:00.000,2018-08-29 18:00:00.000
144,2018-08-29 20:55:00.000,2018-08-29 19:40:00.000
145,2018-08-29 22:05:00.000,2018-08-29 20:55:00.000
146,2018-08-29 23:25:00.000,2018-08-29 22:05:00.000
147,2018-08-30 00:40:00.000,2018-08-29 23:25:00.000
148,2018-08-30 02:00:00.000,2018-08-30 00:40:00.000
149,2018-08-30 03:25:00.000,2018-08-30 02:00:00.000
150,2018-08-30 04:50:00.000,2018-08-30 03:25:00.000
151,2018-08-30 06:10:00.000,2018-08-30 04:50:00.000
152,2018-08-30 07:15:00.000,2018-08-30 06:10:00.000
153,2018-10-16 14:30:00.000,2018-10-16 13:10:00.000
154,2018-10-16 15:50:00.000,2018-10-16 14:30:00.000
155,2018-10-16 17:15:00.000,2018-10-16 15:50:00.000
156,2018-10-16 18:40:00.000,2018-10-16 17:15:00.000
157,2018-10-16 20:00:00.000,2018-10-16 18:40:00.000
158,2018-10-16 21:20:00.000,2018-10-16 20:00:00.000
159,2018-10-16 22:55:00.000,2018-10-16 21:25:00.000
160,2018-10-16 00:05:00.000,2018-10-15 22:45:00.000
161,2018-10-16 01:25:00.000,2018-10-16 00:10:00.000
162,2018-10-16 02:50:00.000,2018-10-16 01:35:00.000
163,2018-10-16 03:30:00.000,2018-10-16 02:50:00.000
164,2018-11-13 19:05:00.000,2018-11-13 16:50:00.000
165,2018-11-13 19:50:00.000,2018-11-13 19:05:00.000
166,2018-11-13 21:10:00.000,2018-11-13 19:55:00.000
167,2018-11-13 22:35:00.000,2018-11-13 21:00:00.000
168,2018-11-13 23:55:00.000,2018-11-13 22:35:00.000
169,2018-11-14 01:36:00.000,2018-11-14 00:06:00.000
170,2018-11-14 02:53:00.000,2018-11-14 01:33:00.000
171,2018-11-14 04:40:00.000,2018-11-14 02:50:00.000
172,2018-11-14 06:10:00.000,2018-11-14 04:40:00.000
173,2018-11-14 07:35:00.000,2018-11-14 06:10:00.000
174,2018-11-14 09:10:00.000,2018-11-14 07:35:00.000
175,2018-11-14 10:35:00.000,2018-11-14 09:10:00.000
176,2018-11-14 12:05:00.000,2018-11-14 10:35:00.000
177,2018-11-14 13:15:00.000,2018-11-14 12:05:00.000
178,2018-11-14 14:45:00.000,2018-11-14 13:30:00.000
179,2018-11-14 16:15:00.000,2018-11-14 14:45:00.000
180,2018-11-14 17:40:00.000,2018-11-14 16:15:00.000
181,2018-11-14 19:10:00.000,2018-11-14 17:40:00.000
182,2018-11-14 20:50:00.000,2018-11-14 19:10:00.000
183,2018-11-14 22:30:00.000,2018-11-14 20:50:00.000
184,2018-11-15 00:00:00.000,2018-11-14 22:30:00.000
185,2018-11-15 01:40:00.000,2018-11-15 00:00:00.000
186,2018-11-15 03:20:00.000,2018-11-15 01:40:00.000
187,2018-11-15 05:05:00.000,2018-11-15 03:20:00.000
188,2018-11-15 06:35:00.000,2018-11-15 05:05:00.000
189,2018-11-15 08:10:00.000,2018-11-15 06:35:00.000
190,2018-11-15 10:00:00.000,2018-11-15 08:10:00.000
191,2018-11-15 11:35:00.000,2018-11-15 10:00:00.000
192,2018-11-15 13:05:00.000,2018-11-15 11:35:00.000
193,2018-11-15 15:50:00.000,2018-11-15 14:40:00.000
194,2018-11-15 16:05:00.000,2018-11-15 14:50:00.000
195,2018-11-15 17:35:00.000,2018-11-15 16:05:00.000
196,2018-11-15 18:55:00.000,2018-11-15 17:45:00.000
197,2018-11-15 20:30:00.000,2018-11-15 18:55:00.000
198,2018-11-15 21:20:00.000,2018-11-15 20:30:00.000
199,2018-11-16 01:30:00.000,2018-11-15 23:45:00.000
200,2018-11-16 03:20:00.000,2018-11-16 01:30:00.000
201,2018-11-16 05:00:00.000,2018-11-16 03:20:00.000
202,2018-11-16 06:30:00.000,2018-11-16 05:00:00.000
203,2018-11-16 07:55:00.000,2018-11-16 06:30:00.000
204,2018-11-16 09:30:00.000,2018-11-16 07:55:00.000
205,2018-11-16 11:10:00.000,2018-11-16 09:30:00.000
206,2018-11-16 12:40:00.000,2018-11-16 11:10:00.000
207,2018-11-16 14:10:00.000,2018-11-16 12:40:00.000
208,2018-11-16 15:40:00.000,2018-11-16 14:10:00.000
209,2018-11-16 17:20:00.000,2018-11-16 15:40:00.000
210,2018-11-16 19:00:00.000,2018-11-16 17:20:00.000
211,2018-11-16 20:00:00.000,2018-11-16 19:00:00.000
212,2018-11-26 16:10:00.000,2018-11-26 15:30:00.000
213,2018-11-26 17:55:00.000,2018-11-26 16:10:00.000
214,2018-11-26 19:25:00.000,2018-11-26 17:55:00.000
215,2018-11-26 21:00:00.000,2018-11-26 19:25:00.000
216,2018-11-26 22:20:00.000,2018-11-26 21:00:00.000
217,2018-11-26 23:45:00.000,2018-11-26 22:20:00.000
218,2018-11-27 01:15:00.000,2018-11-26 23:45:00.000
219,2018-11-27 02:35:00.000,2018-11-27 01:15:00.000
220,2018-11-27 04:00:00.000,2018-11-27 02:35:00.000
221,2018-11-27 05:30:00.000,2018-11-27 04:10:00.000
222,2018-11-27 06:45:00.000,2018-11-27 05:30:00.000
223,2018-11-27 08:25:00.000,2018-11-27 06:45:00.000
224,2018-11-27 10:05:00.000,2018-11-27 08:25:00.000
225,2018-11-27 11:50:00.000,2018-11-27 10:05:00.000
226,2018-11-27 13:30:00.000,2018-11-27 11:50:00.000
227,2018-11-27 14:55:00.000,2018-11-27 13:30:00.000
228,2018-11-27 16:20:00.000,2018-11-27 14:55:00.000
229,2018-11-27 17:50:00.000,2018-11-27 16:20:00.000
230,2018-11-27 19:20:00.000,2018-11-27 17:50:00.000
231,2018-11-27 20:50:00.000,2018-11-27 19:20:00.000
232,2018-11-27 22:20:00.000,2018-11-27 21:00:00.000
233,2018-11-27 23:50:00.000,2018-11-27 22:20:00.000
234,2018-11-27 01:00:00.000,2018-11-26 23:50:00.000
235,2018-12-04 17:30:00.000,2018-12-04 15:40:00.000
236,2018-12-04 18:45:00.000,2018-12-04 17:30:00.000
237,2018-12-04 20:00:00.000,2018-12-04 18:45:00.000
238,2018-12-04 21:25:00.000,2018-12-04 20:00:00.000
239,2018-12-04 22:40:00.000,2018-12-04 21:25:00.000
240,2018-12-05 00:00:00.000,2018-12-04 22:40:00.000
241,2018-12-05 01:30:00.000,2018-12-05 00:00:00.000
242,2018-12-05 03:05:00.000,2018-12-05 01:30:00.000
243,2018-12-05 04:40:00.000,2018-12-05 03:05:00.000
244,2018-12-05 06:10:00.000,2018-12-05 04:35:00.000
245,2018-12-05 07:25:00.000,2018-12-05 06:10:00.000
246,2018-12-05 08:45:00.000,2018-12-05 07:25:00.000
247,2018-12-05 10:00:00.000,2018-12-05 08:45:00.000
248,2018-12-05 10:45:00.000,2018-12-05 10:00:00.000
249,2018-12-18 14:05:00.000,2018-12-18 12:25:00.000
250,2018-12-18 15:40:00.000,2018-12-18 14:05:00.000
251,2018-12-18 17:20:00.000,2018-12-18 15:50:00.000
252,2018-12-18 18:50:00.000,2018-12-18 17:20:00.000
253,2018-12-18 20:30:00.000,2018-12-18 18:50:00.000
254,2018-12-18 22:10:00.000,2018-12-18 20:30:00.000
255,2018-12-18 23:40:00.000,2018-12-18 22:10:00.000
256,2018-12-19 01:15:00.000,2018-12-18 23:40:00.000
257,2018-12-19 02:40:00.000,2018-12-19 01:15:00.000
258,2018-12-19 04:00:00.000,2018-12-19 02:40:00.000
259,2018-12-19 05:30:00.000,2018-12-19 04:00:00.000
260,2018-12-19 07:00:00.000,2018-12-19 05:30:00.000
261,2018-12-19 08:10:00.000,2018-12-19 07:00:00.000
262,2018-12-19 12:10:00.000,2018-12-19 10:15:00.000
263,2018-12-19 14:10:00.000,2018-12-19 12:10:00.000
264,2018-12-19 15:35:00.000,2018-12-19 14:10:00.000
265,2018-12-19 17:05:00.000,2018-12-19 15:35:00.000
266,2018-12-19 18:35:00.000,2018-12-19 17:05:00.000
267,2018-12-19 20:10:00.000,2018-12-19 18:35:00.000
268,2018-12-19 21:30:00.000,2018-12-19 20:05:00.000
269,2018-12-19 23:05:00.000,2018-12-19 21:35:00.000
270,2018-12-20 00:25:00.000,2018-12-19 23:05:00.000
271,2018-12-20 01:50:00.000,2018-12-20 00:25:00.000
272,2018-12-20 03:20:00.000,2018-12-20 01:50:00.000
273,2018-12-20 04:55:00.000,2018-12-20 03:20:00.000
274,2018-12-20 06:20:00.000,2018-12-20 04:55:00.000
275,2018-12-20 07:15:00.000,2018-12-20 06:20:00.000
276,2018-12-20 09:00:00.000,2018-12-20 07:15:00.000
277,2018-12-20 11:00:00.000,2018-12-20 09:00:00.000
278,2019-01-30 16:55:00.000,2019-01-30 15:15:00.000
279,2019-01-30 18:20:00.000,2019-01-30 16:55:00.000
280,2019-01-30 19:40:00.000,2019-01-30 18:20:00.000
281,2019-01-30 21:00:00.000,2019-01-30 19:40:00.000
282,2019-01-30 22:20:00.000,2019-01-30 21:00:00.000
283,2019-01-30 23:40:00.000,2019-01-30 22:20:00.000
284,2019-01-31 01:00:00.000,2019-01-30 23:40:00.000
285,2019-01-31 02:20:00.000,2019-01-31 01:00:00.000
286,2019-01-31 03:40:00.000,2019-01-31 02:20:00.000
287,2019-01-31 05:10:00.000,2019-01-31 03:40:00.000
288,2019-01-31 06:40:00.000,2019-01-31 05:10:00.000
289,2019-01-31 08:15:00.000,2019-01-31 06:40:00.000
290,2019-01-31 09:55:00.057,2019-01-31 08:15:00.057
291,2019-01-31 11:05:00.000,2019-01-31 09:55:00.000
292,2019-01-31 12:45:00.067,2019-01-31 11:05:00.067
293,2019-01-31 14:35:00.000,2019-01-31 12:45:00.000
294,2019-01-31 15:55:00.000,2019-01-31 14:35:00.000
295,2019-01-31 17:15:00.000,2019-01-31 15:55:00.000
296,2019-01-31 19:00:00.000,2019-01-31 17:15:00.000
297,2019-01-31 20:35:00.000,2019-01-31 19:00:00.000
298,2019-01-31 22:05:00.000,2019-01-31 20:35:00.000
299,2019-01-31 23:30:00.000,2019-01-31 22:05:00.000
300,2019-02-01 01:00:00.000,2019-01-31 23:30:00.000
301,2019-02-01 02:25:00.000,2019-02-01 01:00:00.000
302,2019-02-01 03:55:00.000,2019-02-01 02:25:00.000
303,2019-02-01 05:15:00.000,2019-02-01 03:55:00.000
304,2019-02-01 05:40:00.000,2019-02-01 04:15:00.000
305,2019-02-01 08:05:00.000,2019-02-01 06:40:00.000
306,2019-02-01 09:35:00.000,2019-02-01 08:05:00.000
307,2019-02-01 11:05:00.000,2019-02-01 09:35:00.000
308,2019-02-01 12:40:00.000,2019-02-01 11:05:00.000
309,2019-01-08 14:35:00.000,2019-01-08 12:40:00.000
310,2019-01-08 15:45:00.000,2019-01-08 14:35:00.000
